종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"078890","가온그룹","KOSDAQ","중견기업부","3995","25","0.63","3965","4025","3875","100115","394727912","72097253640","18046872"
"000500","가온전선","KOSPI",,"54700","-3100","-5.36","57700","57800","54050","66690","3662770950","904908390500","16543115"
"399720","가온칩스","KOSDAQ","우량기업부","47100","-2350","-4.75","48950","49000","46500","91998","4363477900","546379782000","11600420"
"296520","가이아코퍼레이션","KONEX","일반기업부","903","-100","-9.97","903","903","903","1","903","4214308224","4667008"
"036620","감성코퍼레이션","KOSDAQ","우량기업부","5970","-180","-2.93","6100","6230","5940","767830","4643970795","540307512870","90503771"
"000860","강남제비스코","KOSPI",,"11790","-100","-0.84","11890","11890","11730","9387","110665440","153270000000","13000000"
"198440","강동씨앤엘","KOSDAQ","중견기업부","1217","-29","-2.33","1240","1254","1198","69401","84168653","74154117432","60931896"
"217730","강스템바이오텍","KOSDAQ","기술성장기업부","1490","-32","-2.10","1506","1545","1461","384579","574573485","140140682010","94054149"
"035250","강원랜드","KOSPI",,"17920","-200","-1.10","18150","18310","17920","434648","7836989625","3833813760000","213940500"
"114190","강원에너지","KOSDAQ","우량기업부","10690","-420","-3.78","11200","11210","10620","241063","2608477440","279255276220","26123038"
"094480","갤럭시아머니트리","KOSDAQ","중견기업부","10820","-90","-0.82","10800","11310","10550","1521427","16720859415","424466847160","39229838"
"011420","갤럭시아에스엠","KOSPI",,"2065","-45","-2.13","2090","2110","2040","331463","683554597","56890014860","27549644"
"039240","경남스틸","KOSDAQ","우량기업부","3020","-10","-0.33","3030","3030","2990","213518","641974378","81478404080","26979604"
"053950","경남제약","KOSDAQ","중견기업부","594","-17","-2.78","611","618","591","392637","234563029","46419530652","78147358"
"002100","경농","KOSPI",,"9660","-70","-0.72","9730","10020","9610","53167","519462720","188588074500","19522575"
"009450","경동나비엔","KOSPI",,"73000","-1400","-1.88","73500","74200","72300","52751","3843522150","1063507216000","14568592"
