날짜,시가,고가,저가,종가,거래량,등락률,ticker,name
2024-08-26,37550,38900,37150,38700,1753855,3.337783712,35720,카카오
2024-08-27,38650,38900,38000,38000,1148870,-1.80878553,35720,카카오
2024-08-28,38000,38150,37000,37150,1183525,-2.236842105,35720,카카오
2024-08-29,37000,37400,36750,37000,820801,-0.403768506,35720,카카오
2024-08-30,37250,37750,37150,37200,1353912,0.540540541,35720,카카오
2024-09-02,37350,37350,36750,36900,734047,-0.806451613,35720,카카오
2024-09-03,36900,37400,36200,36200,1238880,-1.89701897,35720,카카오
2024-09-04,35400,35500,33950,34150,3028343,-5.662983425,35720,카카오
2024-09-05,34250,35150,34250,34450,1313025,0.878477306,35720,카카오
2024-09-06,34450,34700,33850,34000,1105965,-1.306240929,35720,카카오
2024-09-09,33050,34100,32900,34000,962302,0,35720,카카오
2024-09-10,34250,34500,33800,34050,1017498,0.147058824,35720,카카오
2024-09-11,34100,35100,34100,34450,975995,1.174743025,35720,카카오
2024-09-12,34800,35400,34400,35350,2063865,2.612481858,35720,카카오
2024-09-13,35400,35800,35250,35600,712365,0.707213579,35720,카카오
2024-09-19,36400,36450,34900,35300,973775,-0.842696629,35720,카카오
2024-09-20,35650,36300,34900,34900,1194728,-1.133144476,35720,카카오
2024-09-23,35000,35600,34800,35500,788030,1.719197708,35720,카카오
2024-09-24,35500,36100,35200,36100,864475,1.690140845,35720,카카오
2024-09-25,36450,36700,35800,35850,957615,-0.692520776,35720,카카오
2024-09-26,35950,36750,35900,36750,956351,2.510460251,35720,카카오
2024-09-27,36750,36900,36250,36650,764657,-0.272108844,35720,카카오
2024-09-30,37050,37550,36150,36150,1575319,-1.36425648,35720,카카오
2024-10-02,35700,36550,35500,36000,1085080,-0.414937759,35720,카카오
2024-10-04,36000,37050,35950,36700,1058670,1.944444444,35720,카카오
2024-10-07,36700,37100,36150,36750,1092340,0.136239782,35720,카카오
2024-10-08,36550,37100,36350,37000,1017162,0.680272109,35720,카카오
2024-10-10,37100,37550,36900,37350,1900499,0.945945946,35720,카카오
2024-10-11,37350,37500,36900,37400,866028,0.133868809,35720,카카오
2024-10-14,37400,37500,36250,36500,1085483,-2.406417112,35720,카카오
2024-10-15,36550,37650,36550,37650,1486111,3.150684932,35720,카카오
2024-10-16,37250,37800,37100,37600,1084146,-0.132802125,35720,카카오
2024-10-17,37550,37800,37300,37350,774171,-0.664893617,35720,카카오
2024-10-18,37400,38700,37400,38500,1975410,3.078982597,35720,카카오
2024-10-21,38750,39800,38600,39400,1774111,2.337662338,35720,카카오
2024-10-22,39300,39350,37300,37350,1787402,-5.203045685,35720,카카오
2024-10-23,37750,38000,37050,37700,811188,0.93708166,35720,카카오
2024-10-24,37500,37650,37050,37450,637040,-0.663129973,35720,카카오
2024-10-25,37450,37700,36100,36500,852346,-2.536715621,35720,카카오
2024-10-28,36450,37450,36250,37450,686130,2.602739726,35720,카카오
2024-10-29,37250,37800,37050,37350,450611,-0.267022697,35720,카카오
2024-10-30,37350,38050,37150,37350,847115,0,35720,카카오
2024-10-31,37150,37700,36450,36950,1258900,-1.070950469,35720,카카오
2024-11-01,36550,36800,36150,36150,689940,-2.165087957,35720,카카오
2024-11-04,36250,37450,36250,37350,873319,3.319502075,35720,카카오
2024-11-05,36950,37950,36800,37750,740056,1.070950469,35720,카카오
