날짜,시가,고가,저가,종가,거래량,등락률,ticker,name
2024-02-26,57500,58000,57000,57100,871467,0,35720,카카오
2024-02-27,57200,57700,56300,56800,1022628,-0.525394046,35720,카카오
2024-02-28,56800,57400,55200,55600,1463434,-2.112676056,35720,카카오
2024-02-29,55100,55300,53000,53300,3056344,-4.136690647,35720,카카오
2024-03-04,53600,54900,52900,53100,1830422,-0.375234522,35720,카카오
2024-03-05,52600,52900,51600,51700,1737655,-2.63653484,35720,카카오
2024-03-06,51400,52300,51400,51900,902578,0.386847195,35720,카카오
2024-03-07,52200,53700,52000,52900,1425978,1.926782274,35720,카카오
2024-03-08,53600,54200,53000,53200,1466862,0.56710775,35720,카카오
2024-03-11,53200,54800,52700,54600,1047193,2.631578947,35720,카카오
2024-03-12,55000,56000,54800,55800,1388337,2.197802198,35720,카카오
2024-03-13,55900,56000,54100,54600,1088171,-2.150537634,35720,카카오
2024-03-14,54600,55800,54600,54900,1792414,0.549450549,35720,카카오
2024-03-15,55000,55000,53900,54100,926038,-1.4571949,35720,카카오
2024-03-18,54200,54300,52700,53000,1168724,-2.033271719,35720,카카오
2024-03-19,52700,52800,51700,52000,1116159,-1.886792453,35720,카카오
2024-03-20,52400,53200,52300,52900,869967,1.730769231,35720,카카오
2024-03-21,53900,54200,52800,53600,1359646,1.323251418,35720,카카오
2024-03-22,53600,54300,53300,53600,881388,0,35720,카카오
2024-03-25,53400,54500,53100,53800,717693,0.373134328,35720,카카오
2024-03-26,54200,55200,53900,54900,1170288,2.044609665,35720,카카오
2024-03-27,54200,55200,53900,54800,779339,-0.182149362,35720,카카오
2024-03-28,54800,55700,54400,54400,955506,-0.729927007,35720,카카오
2024-03-29,54500,54900,53500,53700,870563,-1.286764706,35720,카카오
2024-04-01,54100,54500,53600,53800,775737,0.186219739,35720,카카오
2024-04-02,53200,53200,51000,51200,2856932,-4.832713755,35720,카카오
2024-04-03,51200,52000,51000,51000,1332410,-0.390625,35720,카카오
2024-04-04,51200,51500,49100,49300,2658438,-3.333333333,35720,카카오
2024-04-05,48400,49100,48200,48750,1559612,-1.115618661,35720,카카오
2024-04-08,48850,49750,48300,49150,1006988,0.820512821,35720,카카오
2024-04-09,49100,50100,48850,49250,775713,0.2034588,35720,카카오
2024-04-11,48450,48800,47700,48050,2005085,-2.436548223,35720,카카오
2024-04-12,48050,48450,47650,47850,946914,-0.416233091,35720,카카오
2024-04-15,47100,48000,46850,47750,801117,-0.208986416,35720,카카오
2024-04-16,47200,47400,46600,46750,1144123,-2.094240838,35720,카카오
2024-04-17,46700,48000,46700,46900,1043806,0.320855615,35720,카카오
2024-04-18,47350,50200,46900,49100,2262675,4.690831557,35720,카카오
2024-04-19,48350,49600,47700,48600,1184289,-1.018329939,35720,카카오
2024-04-22,49450,49700,48450,49000,641194,0.823045267,35720,카카오
2024-04-23,48700,48750,47050,47500,1782455,-3.06122449,35720,카카오
2024-04-24,48000,48400,47850,48100,725443,1.263157895,35720,카카오
2024-04-25,47500,47900,47100,47400,847788,-1.455301455,35720,카카오
2024-04-26,47850,47900,47150,47300,656101,-0.210970464,35720,카카오
2024-04-29,47650,48600,47600,48500,950410,2.536997886,35720,카카오
