날짜,시가,고가,저가,종가,거래량,등락률,ticker,name
2021-09-03,155500,157500,154500,156500,1934669,0.967741935,35720,카카오
2021-09-06,156000,156500,152500,155500,1883428,-0.638977636,35720,카카오
2021-09-07,155500,156000,153500,154000,1072249,-0.964630225,35720,카카오
2021-09-08,151500,151500,136500,138500,16920382,-10.06493506,35720,카카오
2021-09-09,134000,134500,128000,128500,14534253,-7.220216606,35720,카카오
2021-09-10,127000,133500,126000,130000,9918050,1.167315175,35720,카카오
2021-09-13,126500,130000,122500,124500,8675498,-4.230769231,35720,카카오
2021-09-14,122500,126000,118000,124000,18895148,-0.401606426,35720,카카오
2021-09-15,123500,127500,122000,122500,9078817,-1.209677419,35720,카카오
2021-09-16,123000,125000,121000,121500,4770936,-0.816326531,35720,카카오
2021-09-17,121500,121500,118000,119500,4807631,-1.646090535,35720,카카오
2021-09-23,116500,118000,114000,115000,6314773,-3.765690377,35720,카카오
2021-09-24,116000,121000,116000,119500,5327603,3.913043478,35720,카카오
2021-09-27,120000,122500,119500,120000,3635942,0.418410042,35720,카카오
2021-09-28,120500,121500,117500,117500,3445583,-2.083333333,35720,카카오
2021-09-29,115000,117500,114500,116500,3172350,-0.85106383,35720,카카오
2021-09-30,115000,120500,114500,118000,4649917,1.287553648,35720,카카오
2021-10-01,118000,120000,116000,116500,2329103,-1.271186441,35720,카카오
2021-10-05,114500,116000,110500,111000,4885065,-4.721030043,35720,카카오
2021-10-06,112500,116000,112000,113000,4610915,1.801801802,35720,카카오
2021-10-07,115000,119500,115000,119500,5146917,5.752212389,35720,카카오
2021-10-08,121500,121500,117500,117500,3930836,-1.673640167,35720,카카오
2021-10-12,117000,118500,113000,113500,3810466,-3.404255319,35720,카카오
2021-10-13,114000,118500,114000,117000,2731883,3.083700441,35720,카카오
2021-10-14,118500,122000,118500,121500,3891958,3.846153846,35720,카카오
2021-10-15,123000,123500,120000,122000,2331425,0.411522634,35720,카카오
2021-10-18,123000,123000,120500,121500,1831322,-0.409836066,35720,카카오
2021-10-19,123000,127500,121500,127500,4075027,4.938271605,35720,카카오
2021-10-20,129500,130500,127000,128000,4959740,0.392156863,35720,카카오
2021-10-21,128500,130000,127500,128000,2297507,0,35720,카카오
2021-10-22,128000,129500,125500,127500,1985417,-0.390625,35720,카카오
2021-10-25,126500,127500,123500,126000,2309608,-1.176470588,35720,카카오
2021-10-26,126000,128000,126000,127500,1265299,1.19047619,35720,카카오
2021-10-27,128000,129000,126500,128500,1449071,0.784313725,35720,카카오
2021-10-28,129000,130000,125000,125500,1783396,-2.33463035,35720,카카오
2021-10-29,125500,126500,123000,125500,1891355,0,35720,카카오
2021-11-01,126000,127000,125000,125500,1081519,0,35720,카카오
2021-11-02,126000,128500,126000,128000,1642378,1.992031873,35720,카카오
2021-11-03,128000,128500,123500,124500,2937805,-2.734375,35720,카카오
2021-11-04,126000,130500,125500,130000,6001098,4.417670683,35720,카카오
2021-11-05,131000,131000,126500,128500,2810726,-1.153846154,35720,카카오
2021-11-08,128500,128500,123000,125000,4026899,-2.723735409,35720,카카오
2021-11-09,124500,127000,124500,125500,1990889,0.4,35720,카카오
2021-11-10,125500,127500,123500,124000,1598893,-1.195219124,35720,카카오
2021-11-11,123000,125500,121500,125500,1955371,1.209677419,35720,카카오
2021-11-12,126000,128000,124500,127000,2100660,1.195219124,35720,카카오
2021-11-15,127000,129500,127000,129000,1714170,1.57480315,35720,카카오
2021-11-16,129000,130000,127000,127500,1591390,-1.162790698,35720,카카오
2021-11-17,128000,129000,125000,125000,1675657,-1.960784314,35720,카카오
2021-11-18,125000,126000,123000,124500,1543924,-0.4,35720,카카오
2021-11-19,125000,127500,124500,127000,1512294,2.008032129,35720,카카오
2021-11-22,127000,129000,125500,128500,2213290,1.181102362,35720,카카오
2021-11-23,127500,128000,124000,124500,1981200,-3.112840467,35720,카카오
2021-11-24,124500,125500,123500,124500,1589036,0,35720,카카오
2021-11-25,125000,128500,124500,128000,2906344,2.81124498,35720,카카오
2021-11-26,127500,128500,125000,125500,1679040,-1.953125,35720,카카오
2021-11-29,123000,125500,122000,123000,2031484,-1.992031873,35720,카카오
2021-11-30,124000,124500,121500,122000,3807209,-0.81300813,35720,카카오
2021-12-01,121500,123500,121000,122500,1482581,0.409836066,35720,카카오
2021-12-02,121500,123000,120000,122500,2028101,0,35720,카카오
2021-12-03,122000,124000,121500,123500,1488902,0.816326531,35720,카카오
2021-12-06,122500,122500,120500,121000,1477396,-2.024291498,35720,카카오
2021-12-07,121500,122000,120000,120500,1218740,-0.41322314,35720,카카오
2021-12-08,121500,123500,120500,121000,2288195,0.414937759,35720,카카오
2021-12-09,120500,122500,120000,122500,2338843,1.239669421,35720,카카오
2021-12-10,122000,122500,121000,122500,974383,0,35720,카카오
2021-12-13,123000,123000,120000,120000,1405089,-2.040816327,35720,카카오
2021-12-14,118500,119000,117000,118500,1718411,-1.25,35720,카카오
2021-12-15,117500,119000,117000,118500,1070223,0,35720,카카오
2021-12-16,119500,120500,118500,119500,1168717,0.843881857,35720,카카오
2021-12-17,118000,119000,117500,117500,1265074,-1.673640167,35720,카카오
2021-12-20,116500,117000,113000,113000,2989796,-3.829787234,35720,카카오
2021-12-21,112500,115000,112500,114500,1366889,1.327433628,35720,카카오
2021-12-22,115000,115500,113500,114500,1036505,0,35720,카카오
2021-12-23,114500,115000,113000,113000,1113550,-1.310043668,35720,카카오
2021-12-24,113000,115000,112500,114500,1484508,1.327433628,35720,카카오
2021-12-27,114000,114500,113000,113000,1116701,-1.310043668,35720,카카오
2021-12-28,113000,114000,113000,113500,2370856,0.442477876,35720,카카오
2021-12-29,115500,117500,114000,114000,1791503,0.440528634,35720,카카오
2021-12-30,114000,114500,112500,112500,1223078,-1.315789474,35720,카카오
2022-01-03,113500,117000,113000,114500,1846049,1.777777778,35720,카카오
2022-01-04,114000,114500,111000,111500,2396207,-2.620087336,35720,카카오
2022-01-05,111000,111000,105000,105500,5108428,-5.381165919,35720,카카오
2022-01-06,102500,103000,99900,100000,7120428,-5.213270142,35720,카카오
2022-01-07,100000,101500,99800,100000,3962672,0,35720,카카오
2022-01-10,100000,100500,95200,96600,5377749,-3.4,35720,카카오
2022-01-11,96000,97200,94500,95000,4382380,-1.6563147,35720,카카오
2022-01-12,96100,98600,96100,97200,3354459,2.315789474,35720,카카오
2022-01-13,97500,98200,96200,96700,2519096,-0.514403292,35720,카카오
2022-01-14,95200,95300,93600,93900,2685014,-2.895553257,35720,카카오
2022-01-17,92900,94300,92000,92900,2589273,-1.064962726,35720,카카오
2022-01-18,92900,94400,92000,92000,1650829,-0.968783638,35720,카카오
2022-01-19,88400,90400,87300,90400,4587643,-1.739130435,35720,카카오
2022-01-20,90800,92700,88800,92300,3004684,2.101769912,35720,카카오
2022-01-21,91100,94100,90600,91800,2954607,-0.541711809,35720,카카오
2022-01-24,90900,92100,89700,90000,2021697,-1.960784314,35720,카카오
2022-01-25,90300,90700,87500,87600,2844579,-2.666666667,35720,카카오
2022-01-26,87300,88600,86600,86900,2204197,-0.799086758,35720,카카오
2022-01-27,87000,87500,82600,82600,3793749,-4.948216341,35720,카카오
2022-01-28,82800,85600,82200,85000,2958280,2.905569007,35720,카카오
2022-02-03,87100,88300,85100,85100,3118696,0.117647059,35720,카카오
2022-02-04,85100,87500,84500,87100,1870626,2.350176263,35720,카카오
2022-02-07,87300,88000,85000,88000,2224116,1.033295063,35720,카카오
2022-02-08,88000,89200,86000,86500,2030457,-1.704545455,35720,카카오
2022-02-09,86900,87300,85700,86100,1640629,-0.462427746,35720,카카오
2022-02-10,86900,89400,86000,87300,3401352,1.393728223,35720,카카오
2022-02-11,87300,93600,85300,91700,7012496,5.040091638,35720,카카오
2022-02-14,90300,90800,87500,88800,4002853,-3.162486369,35720,카카오
2022-02-15,89200,91000,87900,88300,2250253,-0.563063063,35720,카카오
2022-02-16,90200,92100,89600,91900,2468864,4.077010193,35720,카카오
2022-02-17,91900,92100,89200,90600,2851978,-1.414581066,35720,카카오
2022-02-18,89200,92500,88700,91400,2232912,0.883002208,35720,카카오
2022-02-21,90100,94500,89900,93200,2855108,1.969365427,35720,카카오
2022-02-22,91700,93200,91200,91800,1904605,-1.502145923,35720,카카오
2022-02-23,92500,93800,91900,92600,1738804,0.871459695,35720,카카오
2022-02-24,91100,91800,89300,90000,2176721,-2.807775378,35720,카카오
2022-02-25,92100,95000,91800,94400,3690345,4.888888889,35720,카카오
2022-02-28,94100,94900,93100,94100,2175339,-0.31779661,35720,카카오
2022-03-02,94400,95700,93900,95300,2173330,1.275239107,35720,카카오
2021-09-03,76400,76700,76000,76600,12096419,0.789473684,5930,삼성전자
2021-09-06,76800,77600,76600,77300,12861180,0.91383812,5930,삼성전자
2021-09-07,77100,77100,75900,76100,13239401,-1.552393273,5930,삼성전자
2021-09-08,76000,76400,75600,76300,11798147,0.262812089,5930,삼성전자
2021-09-09,76400,76600,75000,75300,17600770,-1.31061599,5930,삼성전자
2021-09-10,75300,75600,74800,75300,10103212,0,5930,삼성전자
2021-09-13,75200,76300,75100,76300,11397775,1.328021248,5930,삼성전자
2021-09-14,77100,77700,76600,76600,18167057,0.393184797,5930,삼성전자
2021-09-15,77400,77400,76400,77000,12829128,0.522193211,5930,삼성전자
2021-09-16,77300,77400,76100,76100,13067622,-1.168831169,5930,삼성전자
2021-09-17,76300,77200,75900,77200,16289502,1.445466491,5930,삼성전자
2021-09-23,77500,77600,76800,77400,17055590,0.259067358,5930,삼성전자
2021-09-24,77600,77700,77100,77300,12247274,-0.129198966,5930,삼성전자
2021-09-27,77300,77700,77000,77700,11699798,0.517464424,5930,삼성전자
2021-09-28,77700,77800,76200,76300,15406382,-1.801801802,5930,삼성전자
2021-09-29,74800,75300,73800,74100,23992458,-2.883355177,5930,삼성전자
2021-09-30,74300,74800,73700,74100,19919361,0,5930,삼성전자
2021-10-01,73900,74000,72900,73200,15803395,-1.214574899,5930,삼성전자
2021-10-05,73000,73000,71400,72200,24013921,-1.366120219,5930,삼성전자
2021-10-06,72600,72800,71200,71300,18956962,-1.246537396,5930,삼성전자
2021-10-07,71600,72100,71300,71600,13683532,0.420757363,5930,삼성전자
2021-10-08,72300,72400,71500,71500,14043287,-0.139664804,5930,삼성전자
2021-10-12,70700,70900,68700,69000,31001484,-3.496503497,5930,삼성전자
2021-10-13,68700,69600,68300,68800,24172015,-0.289855072,5930,삼성전자
2021-10-14,69000,69800,68800,69400,19520641,0.872093023,5930,삼성전자
2021-10-15,70200,71000,70000,70100,18051612,1.008645533,5930,삼성전자
2021-10-18,70200,70300,69200,70200,13486391,0.142653352,5930,삼성전자
2021-10-19,70800,71000,70400,70600,9507991,0.56980057,5930,삼성전자
2021-10-20,70700,71000,70200,70300,10151638,-0.424929178,5930,삼성전자
2021-10-21,70300,70600,70000,70200,10891094,-0.142247511,5930,삼성전자
2021-10-22,70000,70700,70000,70400,8395448,0.284900285,5930,삼성전자
2021-10-25,69900,70600,69500,70200,10029621,-0.284090909,5930,삼성전자
2021-10-26,70600,71500,70400,71100,10528252,1.282051282,5930,삼성전자
2021-10-27,71000,71000,70000,70100,10295316,-1.406469761,5930,삼성전자
2021-10-28,69500,72200,69500,70700,20644902,0.855920114,5930,삼성전자
2021-10-29,71200,71600,69700,69800,17016151,-1.272984441,5930,삼성전자
2021-11-01,70200,70600,69900,69900,11503729,0.143266476,5930,삼성전자
2021-11-02,70800,72200,70700,71500,16812570,2.288984263,5930,삼성전자
2021-11-03,71700,71700,70100,70400,12770428,-1.538461538,5930,삼성전자
2021-11-04,71200,71600,70500,70600,11818987,0.284090909,5930,삼성전자
2021-11-05,71600,71600,70200,70200,12667743,-0.566572238,5930,삼성전자
2021-11-08,70400,70600,69800,70600,11121981,0.56980057,5930,삼성전자
2021-11-09,70300,71000,70100,70500,11159589,-0.141643059,5930,삼성전자
2021-11-10,70300,70900,70200,70200,9422009,-0.425531915,5930,삼성전자
2021-11-11,69900,70000,69600,69900,11489122,-0.427350427,5930,삼성전자
2021-11-12,70200,70900,69900,70600,10087450,1.001430615,5930,삼성전자
2021-11-15,71700,71900,70900,71400,12420710,1.133144476,5930,삼성전자
2021-11-16,71500,72000,71300,71300,10919239,-0.140056022,5930,삼성전자
2021-11-17,71300,71600,70600,70700,11027606,-0.841514727,5930,삼성전자
2021-11-18,70700,71000,70200,70200,10144957,-0.707213579,5930,삼성전자
2021-11-19,70400,71400,70100,71200,11954728,1.424501425,5930,삼성전자
2021-11-22,73300,75200,73000,74900,27506623,5.196629213,5930,삼성전자
2021-11-23,76000,76000,74500,75300,22029195,0.534045394,5930,삼성전자
2021-11-24,76000,76200,74100,74800,15652305,-0.664010624,5930,삼성전자
2021-11-25,75100,75100,73600,73700,12559258,-1.470588235,5930,삼성전자
2021-11-26,73500,74100,72000,72300,13002242,-1.899592944,5930,삼성전자
2021-11-29,71700,73000,71400,72300,16682559,0,5930,삼성전자
2021-11-30,73200,73900,70500,71300,30364841,-1.383125864,5930,삼성전자
