날짜,시가,고가,저가,종가,거래량,등락률,ticker,name
2022-03-03,96100,97300,95300,96600,1738057,1.364113326,35720,카카오
2022-03-04,96200,96300,94500,94700,1539472,-1.966873706,35720,카카오
2022-03-07,93400,93500,91600,91600,1950179,-3.273495248,35720,카카오
2022-03-08,90000,94000,89600,92100,1774311,0.545851528,35720,카카오
2022-03-10,94400,100000,94300,100000,5742398,8.577633008,35720,카카오
2022-03-11,100000,102000,98400,101500,3160552,1.5,35720,카카오
2022-03-14,102500,105000,102000,103500,3656814,1.97044335,35720,카카오
2022-03-15,103500,104500,101000,103000,1778162,-0.483091787,35720,카카오
2022-03-16,105000,105500,102000,104000,1763654,0.970873786,35720,카카오
2022-03-17,106000,109000,105500,106500,3504355,2.403846154,35720,카카오
2022-03-18,107500,109000,106000,108500,2993197,1.877934272,35720,카카오
2022-03-21,108500,110000,104000,105000,3284518,-3.225806452,35720,카카오
2022-03-22,104500,108000,104500,106500,2052237,1.428571429,35720,카카오
2022-03-23,107500,108500,104500,106500,2310401,0,35720,카카오
2022-03-24,105000,105500,103000,105000,2071398,-1.408450704,35720,카카오
2022-03-25,106000,107000,104000,105000,1944089,0,35720,카카오
2022-03-28,105000,105500,102500,105000,1534357,0,35720,카카오
2022-03-29,106000,106500,104500,105500,1318977,0.476190476,35720,카카오
2022-03-30,107000,108000,106000,106500,1115413,0.947867299,35720,카카오
2022-03-31,106000,107500,105500,106500,1065806,0,35720,카카오
2022-04-01,105500,106500,105000,106000,1163804,-0.469483568,35720,카카오
2022-04-04,105500,106000,104000,105500,1276251,-0.471698113,35720,카카오
2022-04-05,106500,108000,106000,107500,1617662,1.895734597,35720,카카오
2022-04-06,105500,106500,104000,105000,1529617,-2.325581395,35720,카카오
2022-04-07,103000,103500,99900,99900,2885845,-4.857142857,35720,카카오
2022-04-08,100000,100500,96500,98000,2929790,-1.901901902,35720,카카오
2022-04-11,97100,97100,94600,95100,2061220,-2.959183673,35720,카카오
2022-04-12,93400,95100,92100,94100,1909946,-1.051524711,35720,카카오
