날짜,시가,고가,저가,종가,거래량,등락률,ticker,name
2025-02-21,40000,40250,39600,39900,2460853,0.377358491,35720,카카오
2025-02-24,39650,40000,39200,39550,1834667,-0.877192982,35720,카카오
2025-02-25,39200,39800,39100,39750,1505555,0.505689001,35720,카카오
2025-02-26,40150,42400,40050,42100,7598359,5.911949686,35720,카카오
2025-02-27,42900,44450,42800,44450,10185706,5.581947743,35720,카카오
2025-02-28,43700,44700,42650,43150,6591090,-2.924634421,35720,카카오
2025-03-04,43000,43450,41350,41900,3387888,-2.896871379,35720,카카오
2025-03-05,42550,43500,42450,43100,2525062,2.863961814,35720,카카오
2025-03-06,43500,45400,42550,45100,6180767,4.64037123,35720,카카오
2025-03-07,44450,44825,43450,43750,3099161,-2.993348115,35720,카카오
2025-03-10,43500,45950,43150,45400,4010592,3.771428571,35720,카카오
2025-03-11,43900,44700,43550,44100,2486551,-2.863436123,35720,카카오
2025-03-12,44250,44650,43450,44100,1976354,0,35720,카카오
2025-03-13,44150,44750,42350,43150,3269454,-2.154195011,35720,카카오
2025-03-14,43100,44050,43100,43450,1733603,0.695249131,35720,카카오
2025-03-17,43500,43850,42300,43500,1693348,0.115074799,35720,카카오
2025-03-18,43700,45050,43500,44000,2475410,1.149425287,35720,카카오
2025-03-19,44000,44375,43100,43300,1642570,-1.590909091,35720,카카오
2025-03-20,43500,43950,42650,42650,1761461,-1.501154734,35720,카카오
2025-03-21,42650,43600,41900,43600,1900729,2.227432591,35720,카카오
2025-03-24,43350,43500,41550,41900,1792693,-3.899082569,35720,카카오
2025-03-25,42100,42400,41750,42200,827099,0.715990453,35720,카카오
2025-03-26,42350,43050,41400,42900,1180900,1.658767773,35720,카카오
2025-03-27,42300,42350,41200,41600,1360153,-3.03030303,35720,카카오
2025-03-28,41600,41650,40500,41150,728635,-1.081730769,35720,카카오
2025-03-31,40250,40700,39100,39100,1711143,-4.981773998,35720,카카오
2025-04-01,39600,42450,39600,42200,2570592,7.928388747,35720,카카오
2025-04-02,42300,42350,40700,40900,1549771,-3.08056872,35720,카카오
2025-04-03,40000,42900,40000,42850,2508882,4.767726161,35720,카카오
2025-04-04,42600,44750,40950,41850,4844975,-2.333722287,35720,카카오
2025-04-07,40450,41750,39500,40650,2124791,-2.867383513,35720,카카오
2025-04-08,41450,41500,39000,39050,2588453,-3.93603936,35720,카카오
2025-04-09,38250,39650,36950,37150,1861781,-4.865556978,35720,카카오
2025-04-10,39100,40000,38200,40000,1977485,7.671601615,35720,카카오
2025-04-11,38750,39050,38200,39000,1364871,-2.5,35720,카카오
2025-04-14,39150,39750,38950,39000,962491,0,35720,카카오
2025-04-15,39150,39350,38750,38850,1049886,-0.384615385,35720,카카오
2025-04-16,38900,38950,37600,37750,1386130,-2.831402831,35720,카카오
2025-04-17,37800,38400,37800,38200,845939,1.19205298,35720,카카오
2025-04-18,38300,39150,38100,39000,841087,2.094240838,35720,카카오
2025-04-21,39250,39350,38750,38900,464726,-0.256410256,35720,카카오
2025-04-22,38550,40150,38425,39200,1247375,0.771208226,35720,카카오
2025-04-23,39650,39700,39150,39400,687852,0.510204082,35720,카카오
2025-04-24,39650,39775,39250,39450,497262,0.126903553,35720,카카오
2025-04-25,37850,38400,37150,37950,16562277,-3.802281369,35720,카카오
2025-04-28,38500,38600,37950,38050,1779369,0.263504611,35720,카카오
2025-04-29,38200,38700,38100,38450,1787062,1.051248357,35720,카카오
2025-04-30,38300,38750,37750,38250,1857478,-0.520156047,35720,카카오
2025-05-02,38150,38650,37950,38050,1350989,-0.522875817,35720,카카오
2025-05-07,38350,38550,37800,38350,1891623,0.788436268,35720,카카오
2025-05-08,38200,38250,36900,37000,4639380,-3.520208605,35720,카카오
2025-05-09,37150,37200,36850,36950,1076784,-0.135135135,35720,카카오
2025-05-12,37100,38100,37050,38100,1737798,3.112313938,35720,카카오
2025-05-13,38150,38300,37400,37550,1270052,-1.443569554,35720,카카오
2025-05-14,37700,38200,37300,37950,1623377,1.065246338,35720,카카오
2025-05-15,37750,37850,37250,37650,1346122,-0.790513834,35720,카카오
2025-05-16,37650,37800,37300,37400,912660,-0.664010624,35720,카카오
2025-05-19,37150,37200,36350,36450,1389926,-2.540106952,35720,카카오
2025-05-20,36600,36850,36300,36550,1680015,0.274348422,35720,카카오
2025-05-21,36700,37950,36700,37450,1327371,2.462380301,35720,카카오
2025-05-22,37250,37650,36950,37250,884129,-0.534045394,35720,카카오
2025-05-23,37250,37650,37000,37400,1081143,0.402684564,35720,카카오
2025-05-26,37400,39000,37100,39000,2676578,4.278074866,35720,카카오
2025-05-27,38700,41000,38550,40950,3448700,5,35720,카카오
2025-05-28,40950,42200,40250,41700,2787745,1.831501832,35720,카카오
2025-05-29,41550,44250,41550,44000,4644875,5.51558753,35720,카카오
2025-05-30,43650,43850,42650,42700,3539065,-2.954545455,35720,카카오
2025-06-02,43200,43700,42400,43150,2075682,1.053864169,35720,카카오
2025-06-04,44100,44450,41050,41600,3838475,-3.59212051,35720,카카오
2025-06-05,42000,44900,41850,44300,5070135,6.490384615,35720,카카오
2025-06-09,45950,51500,45700,51400,12784767,16.02708804,35720,카카오
2025-06-10,53300,53300,49000,50000,8896042,-2.723735409,35720,카카오
2025-06-11,49100,52000,49100,51400,5300436,2.8,35720,카카오
2025-06-12,50800,51800,50300,50500,4071665,-1.750972763,35720,카카오
2025-06-13,53700,53700,50700,51500,5408390,1.98019802,35720,카카오
2025-06-16,51300,53300,50800,53200,4949701,3.300970874,35720,카카오
2025-06-17,53800,54000,51200,51800,3981660,-2.631578947,35720,카카오
2025-06-18,51600,55400,51600,55200,8380598,6.563706564,35720,카카오
2025-06-19,57300,61800,56800,60400,14753547,9.420289855,35720,카카오
2025-06-20,60100,67200,58600,66600,16754279,10.26490066,35720,카카오
2025-06-23,67000,68900,65600,67600,12708128,1.501501502,35720,카카오
2025-06-24,68100,71600,66000,70400,12083420,4.142011834,35720,카카오
2025-06-25,69400,70700,67200,69400,6399440,-1.420454545,35720,카카오
2025-06-26,67500,67600,61100,63100,12516562,-9.077809798,35720,카카오
2025-06-27,63000,63500,58900,60900,7751588,-3.486529319,35720,카카오
2025-06-30,61200,62000,59500,60000,4067265,-1.477832512,35720,카카오
2025-07-01,59900,63400,59300,60100,4862065,0.166666667,35720,카카오
2025-07-02,61000,61300,58100,58700,2974555,-2.329450915,35720,카카오
2025-07-03,59200,61400,58800,59500,3330017,1.36286201,35720,카카오
2025-07-04,60000,60400,58300,58400,2125150,-1.848739496,35720,카카오
2025-07-07,57600,61000,57500,60100,3213170,2.910958904,35720,카카오
2025-07-08,61400,61600,59900,60800,2354516,1.164725458,35720,카카오
2025-07-09,60700,61000,59500,60500,2152533,-0.493421053,35720,카카오
2025-07-10,61000,61800,59700,60800,3149990,0.495867769,35720,카카오
2025-07-11,62000,62000,59900,60000,2465478,-1.315789474,35720,카카오
2025-07-14,59500,59600,56500,58300,3469359,-2.833333333,35720,카카오
2025-07-15,57400,58000,56300,57200,2979693,-1.886792453,35720,카카오
2025-07-16,56900,57600,56000,56100,1844953,-1.923076923,35720,카카오
2025-07-17,57500,59100,57000,57500,3318001,2.495543672,35720,카카오
2025-07-18,57700,57800,56100,56900,1334076,-1.043478261,35720,카카오
2025-07-21,56700,57400,56400,56900,1111739,0,35720,카카오
2025-07-22,57100,57100,56100,56500,1274106,-0.702987698,35720,카카오
2025-07-23,56700,56900,54100,55000,1861734,-2.654867257,35720,카카오
2025-07-24,55500,55900,53500,54100,1968455,-1.636363636,35720,카카오
2025-07-25,54000,55900,53700,55800,1822409,3.14232902,35720,카카오
2025-07-28,56800,57200,55400,55900,1437014,0.17921147,35720,카카오
2025-07-29,56300,56600,55300,56000,1272773,0.178890877,35720,카카오
2025-07-30,56300,58800,56000,56300,3314430,0.535714286,35720,카카오
2025-07-31,56500,58300,55800,58000,2062382,3.019538188,35720,카카오
2025-08-01,57200,57500,55300,55500,2256317,-4.310344828,35720,카카오
2025-08-04,55000,59400,54700,55400,8113567,-0.18018018,35720,카카오
2025-08-05,55800,55900,53300,54700,4343070,-1.263537906,35720,카카오
2025-08-06,55400,57200,54100,56800,3966137,3.839122486,35720,카카오
