날짜,시가,고가,저가,종가,거래량,등락률,ticker,name
2022-08-31,72300,73700,71800,73400,1348480,0.273224044,35720,카카오
2022-09-01,72300,72500,71200,71400,1275977,-2.72479564,35720,카카오
2022-09-02,72100,72200,70000,70200,1201760,-1.680672269,35720,카카오
2022-09-05,69800,70800,69400,70000,865940,-0.284900285,35720,카카오
2022-09-06,70000,70600,69500,69700,744418,-0.428571429,35720,카카오
2022-09-07,69100,69200,67000,67500,1793068,-3.156384505,35720,카카오
2022-09-08,68500,69200,67600,68000,1169203,0.740740741,35720,카카오
2022-09-13,69100,70800,69100,70000,2103796,2.941176471,35720,카카오
2022-09-14,67000,68500,66500,68100,1827706,-2.714285714,35720,카카오
2022-09-15,68600,69000,67400,67400,984996,-1.027900147,35720,카카오
2022-09-16,66700,67700,66300,66900,922538,-0.741839763,35720,카카오
2022-09-19,67100,67300,65400,65400,1132357,-2.242152466,35720,카카오
2022-09-20,66400,66600,65300,65300,854697,-0.152905199,35720,카카오
2022-09-21,64900,65300,63600,64000,1056852,-1.990811639,35720,카카오
2022-09-22,62700,62800,61100,61300,1743099,-4.21875,35720,카카오
2022-09-23,61300,61800,60900,61000,1660303,-0.489396411,35720,카카오
2022-09-26,60100,61000,59200,59700,1983320,-2.131147541,35720,카카오
2022-09-27,59500,60300,57800,59300,1807942,-0.67001675,35720,카카오
2022-09-28,58600,58800,56100,56900,2387527,-4.047217538,35720,카카오
2022-09-29,57700,59000,55800,55900,2212133,-1.757469244,35720,카카오
2022-09-30,55200,58000,55000,57100,1882206,2.146690519,35720,카카오
2022-10-04,57700,58100,55100,55900,2220578,-2.101576182,35720,카카오
2022-10-05,56700,57100,54300,54500,2107661,-2.504472272,35720,카카오
2022-10-06,54600,55700,53900,54800,2123384,0.550458716,35720,카카오
2022-10-07,54300,54800,50500,50900,4265238,-7.116788321,35720,카카오
2022-10-11,49350,50400,48800,50100,2430880,-1.571709234,35720,카카오
2022-10-12,49850,50300,49000,49850,2106857,-0.499001996,35720,카카오
2022-10-13,49400,49500,47300,47300,2538948,-5.115346038,35720,카카오
2022-10-14,49050,51500,49050,51400,3872919,8.66807611,35720,카카오
2022-10-17,48000,49150,46500,48350,9711382,-5.93385214,35720,카카오
2022-10-18,48900,50200,48400,49400,6284583,2.171664943,35720,카카오
2022-10-19,49800,52200,49400,49800,4540597,0.809716599,35720,카카오
2022-10-20,49800,49800,47300,47750,4240904,-4.116465863,35720,카카오
2022-10-21,47650,49650,47050,48850,3354625,2.303664921,35720,카카오
2022-10-24,50000,50600,48300,48450,2848346,-0.818833163,35720,카카오
2022-10-25,48800,49550,48550,48800,1910362,0.722394221,35720,카카오
2022-10-26,48950,48950,47650,47700,2149830,-2.254098361,35720,카카오
2022-10-27,47700,48850,47200,48750,2442155,2.201257862,35720,카카오
2022-10-28,48200,49450,47800,48750,1867478,0,35720,카카오
2022-10-31,49600,50700,48700,50700,3130880,4,35720,카카오
2022-11-01,50400,50800,49650,50700,1653708,0,35720,카카오
2022-11-02,50100,53100,49700,52300,4937758,3.15581854,35720,카카오
2022-11-03,50800,51200,49700,50100,3572826,-4.206500956,35720,카카오
2022-11-04,49500,50600,48950,50300,3242294,0.399201597,35720,카카오
2022-11-07,50500,50700,49700,49850,2527175,-0.894632207,35720,카카오
2022-11-08,50200,51600,50000,51500,4457042,3.309929789,35720,카카오
2022-11-09,52000,53800,51700,52100,4005676,1.165048544,35720,카카오
2022-11-10,51300,51800,50700,50800,2284351,-2.495201536,35720,카카오
2022-11-11,54500,61000,53600,58700,17375821,15.5511811,35720,카카오
2022-11-14,59300,60200,58000,58500,5392366,-0.340715503,35720,카카오
2022-11-15,58500,58900,57300,58700,2373778,0.341880342,35720,카카오
2022-11-16,59700,59900,57800,58600,2451864,-0.170357751,35720,카카오
2022-11-17,58000,59200,57600,59100,1744238,0.853242321,35720,카카오
2022-11-18,58900,59200,57600,57700,1742383,-2.368866328,35720,카카오
2022-11-21,57500,58300,56000,56300,1765878,-2.426343154,35720,카카오
2022-11-22,55900,56100,54100,54300,1793196,-3.552397869,35720,카카오
2022-11-23,56300,57700,55400,55700,2551968,2.578268877,35720,카카오
2022-11-24,56200,58000,56000,57400,1816392,3.052064632,35720,카카오
2022-11-25,56200,57300,55600,56100,1322780,-2.264808362,35720,카카오
2022-11-28,55800,55800,54500,54600,1365592,-2.673796791,35720,카카오
2022-11-29,54200,56200,54100,55900,1358761,2.380952381,35720,카카오
2022-11-30,55600,56400,55100,56400,1825885,0.894454383,35720,카카오
2022-12-01,59200,59600,57700,57900,2895695,2.659574468,35720,카카오
2022-12-02,57900,58300,56900,56900,1165966,-1.727115717,35720,카카오
2022-12-05,57200,59000,57200,58000,2050445,1.933216169,35720,카카오
2022-12-06,57300,57900,56000,56000,1380887,-3.448275862,35720,카카오
2022-12-07,55700,56600,55400,55500,1014142,-0.892857143,35720,카카오
2022-12-08,55900,56100,54900,55500,1376893,0,35720,카카오
2022-12-09,56100,58200,56000,58100,2404261,4.684684685,35720,카카오
2022-12-12,57700,58700,57000,58100,1402888,0,35720,카카오
2022-12-13,59000,59700,57700,58200,1532110,0.17211704,35720,카카오
2022-12-14,58800,59500,58300,58700,1550967,0.859106529,35720,카카오
2022-12-15,57900,58000,55300,55300,3034680,-5.792163543,35720,카카오
2022-12-16,53500,54900,53100,54400,2477820,-1.627486438,35720,카카오
2022-12-19,53900,56400,53900,55800,1364858,2.573529412,35720,카카오
2022-12-20,55300,55700,53900,54300,1390754,-2.688172043,35720,카카오
2022-12-21,54900,55200,53700,54200,980179,-0.184162063,35720,카카오
2022-12-22,55000,55700,54100,55100,1228266,1.660516605,35720,카카오
2022-12-23,54000,54300,53100,53400,1339673,-3.085299456,35720,카카오
2022-12-26,53400,53800,52700,53600,988777,0.374531835,35720,카카오
2022-12-27,53900,54700,53600,54400,1226474,1.492537313,35720,카카오
2022-12-28,53900,54700,52900,53600,1268005,-1.470588235,35720,카카오
2022-12-29,53500,55300,52900,53100,1319611,-0.932835821,35720,카카오
2023-01-02,53600,53800,52400,52700,887667,-0.753295669,35720,카카오
2023-01-03,52400,53500,51400,53300,1420569,1.138519924,35720,카카오
2023-01-04,53200,56000,53100,55700,2241411,4.502814259,35720,카카오
2023-01-05,55800,58200,55700,57700,3046064,3.590664273,35720,카카오
2023-01-06,57200,58000,56500,57200,1420345,-0.866551127,35720,카카오
2023-01-09,58700,61200,58300,61100,3482961,6.818181818,35720,카카오
2023-01-10,60700,61700,60400,60700,2178323,-0.654664484,35720,카카오
2023-01-11,61700,62500,60800,61900,2544430,1.97693575,35720,카카오
2023-01-12,63000,63400,61100,61500,2197974,-0.646203554,35720,카카오
2023-01-13,62100,63000,61500,62000,2248562,0.81300813,35720,카카오
2023-01-16,62300,65000,62000,64500,2989321,4.032258065,35720,카카오
2023-01-17,64500,64500,61400,61800,3194397,-4.186046512,35720,카카오
2023-01-18,61500,62500,61100,61600,1650067,-0.323624595,35720,카카오
2023-01-19,61100,61400,60200,60800,1687361,-1.298701299,35720,카카오
2023-01-20,60500,61900,60500,61200,1376217,0.657894737,35720,카카오
2023-01-25,62500,63800,62100,62600,2018473,2.287581699,35720,카카오
2023-01-26,62800,63700,61700,63700,1658008,1.757188498,35720,카카오
2023-01-27,64000,65500,63400,64700,2588030,1.569858713,35720,카카오
2023-01-30,64800,65400,63200,63500,1888795,-1.854714065,35720,카카오
2023-01-31,62700,63500,61200,61400,2394547,-3.307086614,35720,카카오
2023-02-01,62000,62900,61400,62200,1582425,1.302931596,35720,카카오
2023-02-02,64400,65200,63700,64500,2936610,3.697749196,35720,카카오
2023-02-03,64900,67500,64500,67200,5019685,4.186046512,35720,카카오
2023-02-06,66500,67100,65200,65200,2276799,-2.976190476,35720,카카오
2023-02-07,65300,68800,64900,68000,3026310,4.294478528,35720,카카오
2023-02-08,68500,69900,68200,69100,3109216,1.617647059,35720,카카오
2023-02-09,67900,71300,67100,70900,3602387,2.604920405,35720,카카오
2023-02-10,69200,70200,66300,67600,5370780,-4.654442877,35720,카카오
2023-02-13,66700,66800,64200,64300,4298565,-4.881656805,35720,카카오
2023-02-14,65400,66400,64800,65000,2249182,1.088646967,35720,카카오
2023-02-15,64600,64700,62600,63600,2984239,-2.153846154,35720,카카오
2023-02-16,64400,65200,63500,64200,2542941,0.943396226,35720,카카오
2023-02-17,63000,64400,62400,63300,1584836,-1.401869159,35720,카카오
2023-02-20,63400,64500,62800,64200,1424392,1.421800948,35720,카카오
2023-02-21,64500,64700,63000,63100,1644407,-1.713395639,35720,카카오
2023-02-22,61900,63000,61500,62200,1904538,-1.426307448,35720,카카오
2023-02-23,62600,63200,62200,62500,1217488,0.482315113,35720,카카오
2023-02-24,62500,62900,61600,61800,1339514,-1.12,35720,카카오
2023-02-27,61400,62200,61000,61900,1407458,0.161812298,35720,카카오
2022-08-31,58200,59900,58200,59700,14203512,1.530612245,5930,삼성전자
2022-09-01,58700,58900,58300,58400,14905777,-2.177554439,5930,삼성전자
2022-09-02,58300,58600,57500,57500,15040310,-1.54109589,5930,삼성전자
2022-09-05,57400,57800,56800,57100,11425977,-0.695652174,5930,삼성전자
2022-09-06,57200,57600,56900,57100,7503086,0,5930,삼성전자
2022-09-07,56700,56700,55900,56000,17384854,-1.926444834,5930,삼성전자
2022-09-08,56200,56400,55600,55600,18000016,-0.714285714,5930,삼성전자
2022-09-13,57000,58500,56800,58100,17166581,4.496402878,5930,삼성전자
2022-09-14,56200,57200,56100,56800,12524961,-2.237521515,5930,삼성전자
2022-09-15,57000,57100,56000,56000,11664819,-1.408450704,5930,삼성전자
2022-09-16,55600,56400,55500,56200,13456503,0.357142857,5930,삼성전자
2022-09-19,56300,57000,56000,56400,12278653,0.355871886,5930,삼성전자
2022-09-20,56400,57000,55800,55800,14041465,-1.063829787,5930,삼성전자
2022-09-21,55400,55500,55000,55300,11863700,-0.896057348,5930,삼성전자
2022-09-22,54600,54700,54300,54400,12786510,-1.627486438,5930,삼성전자
2022-09-23,54400,54900,54200,54500,10555964,0.183823529,5930,삼성전자
2022-09-26,53700,54200,53600,53900,15008449,-1.100917431,5930,삼성전자
2022-09-27,53800,54200,53500,54200,16631289,0.556586271,5930,삼성전자
2022-09-28,53900,54400,52500,52900,19991129,-2.398523985,5930,삼성전자
2022-09-29,53300,53700,52600,52600,13882080,-0.56710775,5930,삼성전자
2022-09-30,52300,53600,51800,53100,22503249,0.950570342,5930,삼성전자
2022-10-04,55300,55400,54500,55200,19148435,3.95480226,5930,삼성전자
2022-10-05,56900,57200,55400,56000,22458970,1.449275362,5930,삼성전자
2022-10-06,56700,57300,56300,56300,14944446,0.535714286,5930,삼성전자
2022-10-07,55900,56900,55200,56200,16886813,-0.177619893,5930,삼성전자
